MF,NF,FAR,PCAVAR,PCAKNN,DSVAR,DSKNN,MPVAR,MPKNN,DSRF
159.946187008857,308.11678294886,159.500425318934,167.416957217155,212.374404264222,168.040956066043,200.715020977208,170.421876383825,178.277681341184,177.393686310849
176.415120801226,347.747916402569,174.12325648146,191.914239307842,217.594583904403,194.799980517396,213.281848443243,186.595899513044,196.985115778279,194.014039180344
339.439971681485,680.015776029122,340.750635345915,392.561262879636,424.555459789103,390.242671092662,432.644274003421,430.516303736908,450.142912967832,346.804080617364
160.397948180194,287.343710838595,159.243921505727,165.382998782378,205.84320704213,163.229832550149,202.604514436476,174.756707488377,169.085563611394,169.245479535369
116.594262979894,222.217800895813,116.15856156188,121.950493492435,137.830241740862,126.022276717329,137.558414522007,123.869385359917,119.316329261808,128.994237814981
247.622797286106,465.080100503941,247.359241382099,300.41978969773,349.145625544658,301.918296370565,386.640269480689,286.11521424535,362.415248474746,250.651596514818
157.387770355085,340.732729129557,157.136135612183,179.009842720714,215.514442939776,182.017827636917,215.931787847471,180.849860064171,191.865704128203,169.050868628956
188.831128008411,346.820240874676,188.864195267381,201.254417316057,254.68552148958,203.694631789039,254.265688722885,200.062338820343,217.298081637611,193.394621312739
102.446503330425,204.099544422612,102.112415922167,110.578832075196,128.320714008218,115.165311941664,133.293487537513,114.868065498588,109.617210136453,115.571648557401
153.206594075809,326.172010378065,152.652814537607,175.492984213669,215.678206971498,178.104662192506,221.00627012459,171.816229583209,196.920475972849,165.120688343767
152.91560378665,294.984259187856,151.668078466188,146.546635423295,184.160594513942,146.703654514344,183.011971232919,149.126739268894,164.724106386859,160.127965697474
157.809493809449,305.43604683748,156.578371766946,154.089298962017,189.880648857619,155.898991162872,191.096379910088,157.412422578678,165.252175754985,169.515668465793
183.192812449346,390.539107890086,180.889789487746,197.518949890518,240.280936389485,197.239646243874,237.622433268445,191.975955740959,215.499475492866,200.319410138777
130.379780826031,242.845472322625,129.697742504183,137.437592793246,176.192417262382,138.995745673349,171.632464651757,140.866116517589,140.771162190202,137.782734381105
176.677787564869,335.221530507589,175.764255654539,178.071766471427,203.302649182224,176.688298560606,188.654831565248,188.513962224208,184.874076873295,182.291648922772
144.24713476465,273.065263936711,143.366725617007,155.810799256103,202.223994307461,154.394437334278,213.201857176081,160.738669903292,168.580254350774,138.883911115655
240.806279257266,429.529907030901,240.590777852328,279.891456384848,313.089896228113,269.507174623933,315.278973070896,285.964574275698,281.946927404543,246.790862471683
175.850320169244,328.573096465482,173.5728546654,199.538165006467,223.267809633882,199.51887148366,217.269702451608,191.76205390535,199.457899668007,191.491967584259
150.124378597902,315.610458963192,149.668870659836,169.912802654611,206.629247151797,171.082239043036,214.501721972915,168.089995817108,184.208945041762,159.222323206098
161.841911973573,354.333064397878,161.931358387235,192.625343784857,234.839642435722,194.187467646232,234.951370116704,189.492871744816,211.370743819388,173.7608472922
149.936214448898,275.813030184623,148.672441348411,150.8048201312,182.242965927722,151.309897653808,188.583912857856,152.95450610988,155.897520656295,160.56233978684
144.046484631192,298.69649683776,142.720150045349,145.369976457983,178.465897194538,146.085993703431,193.412364029312,149.994089447045,164.68219639873,157.852888527823
132.200784670214,264.663421351689,131.41143731333,127.914312250671,169.289223271253,128.900431227747,166.178918652254,132.678605428152,138.164096909452,137.782316409128
144.475834393023,315.49180564647,144.143169520371,159.484918387255,193.861989975945,159.186220463697,197.525737144916,159.308324361989,176.297664754227,155.520615697151
177.841008490823,359.939727331599,177.420833416169,215.244334087189,243.754219657095,212.126638510806,241.027498521106,206.87536827233,221.627698896892,181.203739144812
172.816197609415,351.917117030346,172.468011586145,192.946207532873,234.461963267402,191.595071336183,241.264815502161,192.320838022274,219.549392624911,188.669853165069
147.456578097597,305.339081771126,147.799552785553,171.53459877955,205.880503432972,170.38971379474,198.553791942567,172.600795925032,187.840414311834,158.975281664057
111.735545064335,200.769291185655,110.961608966442,117.021063227172,149.255330773456,117.745848559077,145.066862787761,123.272833692103,118.661170084686,119.280611703889
174.996149353428,369.252860071422,174.765534641651,203.380611018532,239.200630921464,209.963918041137,232.493662989308,203.845723962546,205.142938563998,188.14801035075
161.509981026601,309.450585722223,160.261489358373,170.091854092942,212.853422030058,165.059051541901,211.04076906863,168.444646208576,195.129185040118,173.630573482413
153.943500112108,327.620907656623,153.419845866136,174.660244838171,211.682202602289,177.170447350424,212.975785378298,173.214319230961,184.054788858034,168.742363986911
147.263173520123,277.418346761732,145.562567163788,143.103644765872,172.904607114245,146.384275458164,178.417823738434,149.992239420901,145.674674000382,149.234918360092
139.138233326231,301.311348684059,139.277364519217,166.182352512634,196.717638291886,165.696007765442,197.857007206083,164.353379268418,176.725870305496,148.576115165767
145.13473396884,274.898254501954,144.343868043059,152.110353533944,197.310935931808,151.831143857815,191.770741989857,158.289990580544,168.756053232103,154.73790387795
140.407888889136,261.722089664396,139.85370703838,143.802381193718,165.939526602634,144.556581846263,161.95287477532,148.613044515843,147.537310877048,152.264002185503
151.694635304559,297.773193808284,150.817195867788,171.147213931716,207.477004895307,171.736191153582,214.722400068405,166.67751501482,177.792006295513,159.288428638375
148.877227312615,277.623443409633,148.124357037874,151.348896314055,193.929623208119,150.608278770837,183.081996826422,155.597351131975,157.777138110841,159.185045995151
186.042356151255,356.396645784119,184.764825788249,198.936070080931,250.875193482456,202.17947745997,254.072357015532,201.082259705436,211.496295431395,197.301928657608
163.72767097223,335.013646715128,162.864845739763,188.590333263946,216.699389646948,186.480846085638,214.887555027692,185.159172168377,207.702220808534,171.031494608556
166.944654600801,355.703771653015,166.895033738272,186.977881485425,226.71890689947,186.066887943089,223.401839950722,189.404734576411,218.894393107974,178.329236524653
136.711271803913,263.59003156122,136.026324074525,135.60460265574,184.942605289098,137.516612356632,178.190214848221,139.5286003505,149.326240740537,144.048990177195
299.301210782087,588.453994840423,300.927446365948,365.255363866367,409.768329797536,357.983938338988,413.38374163778,377.57049658765,444.839150557894,292.921115363237
152.005756032437,307.108180280283,149.80820258979,166.22704515585,206.299803412555,159.77671277912,208.034886940131,164.283256370908,189.372055255661,162.306413366033
343.196579769958,649.603195958678,343.89671574372,384.226646836824,421.088948395108,382.319468817592,430.689263106985,396.607134021403,380.061353406719,357.92405674803
87.5746531450337,167.260230218068,86.7185268267084,84.5719662575538,106.47727562216,90.9094223370922,117.08594117931,86.6671710736793,96.4502808355724,96.2127104571528
150.519880524998,283.89203604273,149.39225343188,151.873559022978,199.26630303994,153.232720254531,191.084000184723,153.685904115227,168.708288814202,159.038324885151
105.50866924834,198.129773991647,104.635765999167,105.932661554456,127.366581549855,105.905819121976,133.512508289035,108.099116440858,110.25689804879,118.156442966677
138.038889330073,266.678673910486,137.551577134643,136.159860958207,182.152897698637,132.078431093836,203.394130177885,139.403024822857,168.919769120646,152.458109101052
164.411717515981,318.504838055386,163.681487650744,167.461251034134,207.460325986162,166.282105163471,202.662419039407,169.569815889163,168.172739375467,176.895651219563
271.00813593292,491.902211019118,270.21775772392,305.780368878818,351.115748566932,307.832488331901,369.274588397413,311.622190726632,373.818392688295,273.194576352598
155.77447441569,288.832783001556,154.700472221798,163.865070953381,200.211753048197,166.780591827364,206.744701010704,165.56479648174,172.30602067947,164.32221755623
149.463318790556,303.215283365715,148.565855982259,151.501458121656,190.442670309169,151.71765473645,183.957799931974,153.637140447245,159.69638758545,163.915668792816
183.026462255404,356.587472109903,181.883255952474,204.24099977382,239.890061508756,197.35892953064,235.512641185239,200.392806420004,223.442841977935,192.635928680919
127.580886727362,245.55542286955,126.774445312627,124.639523892937,173.567287015172,126.518262533033,167.483372544957,128.213516985418,137.047407861601,134.256565133341
112.490184787995,225.408322414585,112.131171328167,120.525107445459,137.266064745889,124.471702620988,138.320122179827,119.957881132771,121.060107800414,122.725633882345
151.329768330187,288.190422716806,150.311843926056,149.300175864234,183.438980603867,149.339092905909,177.050480311481,155.125965998663,154.776920869547,160.320067583194
176.659310883355,314.079822108725,175.388950695079,174.391463855726,212.504373640098,173.260038365371,211.511079701577,177.357474933107,189.588004358975,184.292525930617
166.25632914028,342.757785013124,165.665873283533,170.383665579622,213.10756456742,175.64343024703,221.561922100439,172.947692846371,184.578153745259,179.907879306213
140.348506225697,257.751056925219,139.417243115171,142.269214448492,185.61448111143,141.934428798924,182.831496493298,141.15784248746,148.754012318732,144.265835666708
118.191103095289,225.619107229164,117.568079314001,118.092367806219,146.503651105973,118.868490988161,142.590764350231,121.968419715286,125.58592093708,130.537882465446
